number of cluster: 333
60 : size: 5 :{YDR385W,YAR002W,YLR335W,YGL097W,YDL229W}
61 : size: 5 :{YPL240C,YJR032W,YBR155W,YLL026W,YDR168W}
62 : size: 4 :{YDL030W,YDL043C,YNL286W,YJL203W}
63 : size: 4 :{YIL126W,YFR037C,YLR321C,YMR091C}
64 : size: 4 :{YDR382W,YDL130W,YEL054C,YOL039W}
65 : size: 4 :{YNL082W,YCR092C,YOL090W,YDR097C}
66 : size: 4 :{YDR180W,YDL003W,YIL026C,YFR027W}
67 : size: 4 :{YDR311W,YKL103C,YHR113W,YOL082W}
68 : size: 4 :{YML062C,YNL139C,YHR167W,YDR138W}
69 : size: 4 :{YLR170C,YPL259C,YHL019C,YKL135C}
70 : size: 4 :{YOL115W,YML056C,YIL079C,YAR073W}
71 : size: 4 :{YDL220C,YLR233C,YDR082W,YLR010C}
72 : size: 4 :{YOL108C,YOL067C,YBL103C,YLR422W}
73 : size: 4 :{YOR373W,YNL225C,YKL042W,YDL239C}
74 : size: 4 :{YBL046W,YNL201C,YGR192C,YDR075W}
75 : size: 4 :{YGL220W,YER174C,YDR098C,YGR262C}
76 : size: 4 :{YBR171W,YOR254C,YDR497C,YLR292C}
77 : size: 4 :{YCR057C,YHR148W,YNL075W,YJR002W}
78 : size: 4 :{YLR372W,YCR034W,YGR295C,YEL017C-A}
79 : size: 4 :{YDR480W,YPL049C,YHR084W,YMR199W}
80 : size: 4 :{YGL200C,YHR123W,YDR107C,YNL130C}
81 : size: 4 :{YDL047W,YKR028W,YJL098W,YPR040W}
82 : size: 4 :{YOR210W,YPR010C,YLL034C,YOR341W}
83 : size: 4 :{YHR161C,YDR320C,YGL206C,YGR167W}
84 : size: 4 :{YBR159W,YGR260W,YLR004C,YGL051W}
85 : size: 4 :{YLR207W,YML075C,YOL013C,YLR450W}
86 : size: 4 :{YMR203W,YNL131W,YJL143W,YGR082W}
87 : size: 4 :{YOR232W,YJR045C,YIL022W,YFL016C}
88 : size: 4 :{YHL003C,YKL008C,YKL146W,YMR298W}
89 : size: 4 :{YGR104C,YHR041C,YER022W,YOL135C}
90 : size: 4 :{YOR194C,YLR131C,YPR086W,YKL058W}
91 : size: 4 :{YNL311C,YHR115C,YNL116W,YKL001C}
92 : size: 4 :{YBL021C,YOR358W,YKL109W,YGL237C}
93 : size: 4 :{YLR014C,YOL062C,YJR058C,YJR005W}
94 : size: 4 :{YBR254C,YOR115C,YDR472W,YKR068C}
95 : size: 4 :{YGL208W,YOR047C,YDR477W,YER027C}
96 : size: 4 :{YHR020W,YDR062W,YLR342W,YDR170C}
97 : size: 4 :{YML058W,YIL066C,YER070W,YCL028W}
